count,streamType,tag,time,values
786527,4,14,1551454365,955.0;11.0
786464,4,14,1551454317,580.0;14.0
786463,4,14,1551454317,580.0;14.0
786466,4,14,1551454318,583.0;14.0
786465,4,14,1551454318,583.0;14.0
786468,4,14,1551454319,587.0;14.0
786467,4,14,1551454319,587.0;14.0
786469,4,14,1551454320,583.0;14.0
786471,4,14,1551454321,595.0;14.0
786470,4,14,1551454321,595.0;14.0
786473,4,14,1551454322,599.0;14.0
786472,4,14,1551454322,599.0;14.0
786474,4,14,1551454323,603.0;14.0
786476,4,14,1551454324,623.0;14.0
786475,4,14,1551454324,623.0;14.0
786477,4,14,1551454325,629.0;14.0
786479,4,14,1551454326,632.0;14.0
786478,4,14,1551454326,632.0;14.0
786481,4,14,1551454327,643.0;14.0
786480,4,14,1551454327,643.0;14.0
786482,4,14,1551454328,650.0;14.0
786484,4,14,1551454329,653.0;14.0
786483,4,14,1551454329,653.0;14.0
786485,4,14,1551454330,662.0;14.0
786487,4,14,1551454331,670.0;14.0
786486,4,14,1551454331,670.0;14.0
786488,4,14,1551454332,656.0;14.0
786490,4,14,1551454333,657.0;14.0
786489,4,14,1551454333,657.0;14.0
786491,4,14,1551454334,658.0;14.0
786492,4,14,1551454335,1233.0;15.0
786493,4,14,1551454336,851.0;11.0
786494,4,14,1551454337,773.0;11.0
786495,4,14,1551454338,792.0;10.0
786497,4,14,1551454339,862.0;15.0
786496,4,14,1551454339,827.0;11.0
786425,4,14,1551454296,568.0;14.0
786427,4,14,1551454296,566.0;14.0
786426,4,14,1551454296,566.0;14.0
786429,4,14,1551454297,565.0;14.0
786428,4,14,1551454297,565.0;14.0
786431,4,14,1551454298,564.0;14.0
786430,4,14,1551454298,564.0;14.0
786432,4,14,1551454299,564.0;14.0
786434,4,14,1551454300,567.0;14.0
786433,4,14,1551454300,567.0;14.0
786436,4,14,1551454301,568.0;14.0
786435,4,14,1551454301,568.0;14.0
786438,4,14,1551454302,569.0;14.0
786437,4,14,1551454302,569.0;14.0
786439,4,14,1551454303,569.0;14.0
786441,4,14,1551454304,567.0;14.0
786440,4,14,1551454304,567.0;14.0
786443,4,14,1551454305,564.0;14.0
786442,4,14,1551454305,564.0;14.0
786445,4,14,1551454306,560.0;14.0
786444,4,14,1551454306,560.0;14.0
786446,4,14,1551454307,562.0;14.0
786448,4,14,1551454308,562.0;14.0
786447,4,14,1551454308,562.0;14.0
786450,4,14,1551454309,560.0;14.0
786449,4,14,1551454309,560.0;14.0
786452,4,14,1551454310,560.0;14.0
786451,4,14,1551454310,560.0;14.0
786454,4,14,1551454311,558.0;14.0
786453,4,14,1551454311,558.0;14.0
786455,4,14,1551454312,561.0;14.0
786457,4,14,1551454313,567.0;14.0
786456,4,14,1551454313,567.0;14.0
786459,4,14,1551454314,573.0;14.0
786458,4,14,1551454314,573.0;14.0
786461,4,14,1551454315,577.0;14.0
786460,4,14,1551454315,577.0;14.0
786462,4,14,1551454316,578.0;14.0
786388,4,14,1551454274,605.0;14.0
786390,4,14,1551454274,604.0;14.0
786389,4,14,1551454274,604.0;14.0
786391,4,14,1551454275,603.0;14.0
786393,4,14,1551454276,602.0;14.0
786392,4,14,1551454276,602.0;14.0
786394,4,14,1551454277,601.0;14.0
786396,4,14,1551454278,601.0;14.0
786395,4,14,1551454278,601.0;14.0
786398,4,14,1551454279,602.0;14.0
